Departamento,Municipio,TotalAccidentes
CUNDINAMARCA,BOGOTÁ D.C. (CT),6605
VALLE,CALI (CT),3516
ANTIOQUIA,MEDELLÍN (CT),3364
BOLÍVAR,CARTAGENA (CT),1088
ATLÁNTICO,BARRANQUILLA (CT),1038
RISARALDA,PEREIRA (CT),898
META,VILLAVICENCIO (CT),838
VALLE,PALMIRA,821
TOLIMA,IBAGUÉ (CT),817
MAGDALENA,SANTA MARTA (CT),813
NORTE DE SANTANDER,CÚCUTA (CT),811
CÓRDOBA,MONTERÍA (CT),757
SANTANDER,BUCARAMANGA (CT),728
CESAR,VALLEDUPAR (CT),715
SANTANDER,BARRANCABERMEJA,599
ANTIOQUIA,BELLO,590
CUNDINAMARCA,SOACHA,552
NARIÑO,PASTO (CT),533
HUILA,NEIVA (CT),518
QUINDÍO,ARMENIA (CT),498
CALDAS,MANIZALES (CT),481
CAUCA,POPAYÁN (CT),481
VALLE,BUENAVENTURA,457
VALLE,CANDELARIA,450
CASANARE,YOPAL (CT),423
NARIÑO,SAN ANDRES DE TUMACO,422
ANTIOQUIA,TURBO,387
GUAJIRA,MAICAO,380
VALLE,GUADALAJARA DE BUGA,359
CAUCA,SANTANDER DE QUILICHAO,349
CESAR,AGUACHICA,342
VALLE,YUMBO,324
ANTIOQUIA,ITAGUI,323
RISARALDA,DOSQUEBRADAS,323
VALLE,TULUÁ,323
VALLE,JAMUNDÍ,312
GUAJIRA,RIOHACHA (CT),307
SUCRE,SINCELEJO (CT),299
ATLÁNTICO,SOLEDAD,298
TOLIMA,ESPINAL,279
HUILA,PITALITO,267
CUNDINAMARCA,FUSAGASUGÁ,266
VALLE,CARTAGO,265
CAQUETÁ,FLORENCIA (CT),261
SANTANDER,GIRÓN,242
CÓRDOBA,SAHAGÚN,239
BOYACÁ,TUNJA (CT),237
ANTIOQUIA,BARBOSA,236
QUINDÍO,CALARCA,233
ANTIOQUIA,ENVIGADO,232
SANTANDER,PIEDECUESTA,228
CÓRDOBA,CERETÉ,226
NORTE DE SANTANDER,OCAÑA,224
NARIÑO,IPIALES,217
VALLE,ZARZAL,216
MAGDALENA,ZONA BANANERA,216
VALLE,DAGUA,209
CÓRDOBA,LORICA,206
CUNDINAMARCA,FACATATIVÁ,202
CAUCA,PIENDAMÓ,201
META,GRANADA,196
ANTIOQUIA,COPACABANA,194
MAGDALENA,CIÉNAGA,191
ANTIOQUIA,RIONEGRO,191
SANTANDER,CIMITARRA,186
CESAR,SAN ALBERTO,185
ARAUCA,TAME,181
NORTE DE SANTANDER,EL ZULIA,176
CUNDINAMARCA,MOSQUERA,175
SANTANDER,FLORIDABLANCA,172
CUNDINAMARCA,FUNZA,172
VALLE,YOTOCO,171
SANTANDER,SABANA DE TORRES,171
CAUCA,PATÍA,171
BOYACÁ,PUERTO BOYACÁ,169
CESAR,AGUSTÍN CODAZZI,169
CESAR,CURUMANÍ,167
VALLE,EL CERRITO,167
ANTIOQUIA,CALDAS,164
ANTIOQUIA,APARTADÓ,163
META,PUERTO LÓPEZ,163
CESAR,BOSCONIA,161
CASANARE,AGUAZUL,160
ANTIOQUIA,GUARNE,159
ATLÁNTICO,SABANALARGA,158
BOLÍVAR,TURBACO,156
HUILA,GARZÓN,155
SAN ANDRÉS,SAN ANDRÉS (CT),151
CUNDINAMARCA,CHÍA,149
ANTIOQUIA,CHIGORODÓ,147
BOLÍVAR,MAGANGUÉ,147
CÓRDOBA,PLANETA RICA,145
ATLÁNTICO,MALAMBO,144
NORTE DE SANTANDER,LOS PATIOS,144
BOYACÁ,DUITAMA,138
BOYACÁ,SOGAMOSO,138
CUNDINAMARCA,ZIPAQUIRÁ,137
NORTE DE SANTANDER,VILLA DEL ROSARIO,136
RISARALDA,SANTA ROSA DE CABAL,136
ARAUCA,SARAVENA,135
BOLÍVAR,EL CARMEN DE BOLÍVAR,135
CAUCA,VILLA RICA,135
META,ACACÍAS,135
CUNDINAMARCA,COTA,133
MAGDALENA,SITIONUEVO,133
TOLIMA,GUAMO,132
CUNDINAMARCA,MADRID,132
CALDAS,CHINCHINÁ,129
HUILA,RIVERA,128
BOLÍVAR,ARJONA,127
HUILA,CAMPOALEGRE,127
CALDAS,LA DORADA,126
CUNDINAMARCA,CAJICÁ,123
NORTE DE SANTANDER,TIBÚ,121
ANTIOQUIA,GIRARDOTA,120
QUINDÍO,LA TEBAIDA,118
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,118
CESAR,CHIRIGUANÁ,118
CUNDINAMARCA,GIRARDOT,117
CUNDINAMARCA,PUERTO SALGAR,116
ANTIOQUIA,SANTA ROSA DE OSOS,116
CUNDINAMARCA,CHOCONTÁ,114
GUAJIRA,DIBULLA,113
TOLIMA,CAJAMARCA,113
SANTANDER,LEBRIJA,113
HUILA,PALERMO,112
TOLIMA,ALVARADO,112
CUNDINAMARCA,GRANADA,111
ARAUCA,ARAUCA (CT),111
VALLE,PRADERA,111
CESAR,EL PASO,110
ANTIOQUIA,NECOCLÍ,109
ANTIOQUIA,CAUCASIA,108
CAUCA,TIMBÍO,107
ARAUCA,ARAUQUITA,107
CHOCÓ,QUIBDÓ (CT),107
TOLIMA,NATAGAIMA,106
CESAR,EL COPEY,105
CÓRDOBA,CIÉNAGA DE ORO,104
VALLE,GUACARÍ,104
CUNDINAMARCA,VILLETA,104
CESAR,LA JAGUA DE IBIRICO,104
TOLIMA,COYAIMA,104
TOLIMA,MELGAR,103
CUNDINAMARCA,GUADUAS,103
CESAR,PELAYA,103
VALLE,BUGALAGRANDE,102
CAUCA,CAJIBÍO,102
CUNDINAMARCA,TOCANCIPÁ,102
ANTIOQUIA,MUTATÁ,101
MAGDALENA,FUNDACIÓN,101
HUILA,AIPE,101
VALLE,SAN PEDRO,100
TOLIMA,MARIQUITA,99
CÓRDOBA,TIERRALTA,98
VALLE,FLORIDA,98
CÓRDOBA,CHINÚ,98
CAUCA,PUERTO TEJADA,97
ANTIOQUIA,SABANETA,96
GUAJIRA,MANAURE,96
BOLÍVAR,MARÍA LA BAJA,96
CESAR,SAN MARTÍN,95
HUILA,GIGANTE,94
ANTIOQUIA,LA ESTRELLA,94
SUCRE,SAN ONOFRE,94
BOYACÁ,VENTAQUEMADA,93
PUTUMAYO,MOCOA (CT),92
TOLIMA,CHAPARRAL,92
ANTIOQUIA,CÁCERES,91
ATLÁNTICO,BARANOA,91
GUAJIRA,ALBANIA,91
HUILA,SUAZA,90
CUNDINAMARCA,CAQUEZA,89
MAGDALENA,PUEBLOVIEJO,89
CUNDINAMARCA,LA VEGA,89
RISARALDA,LA VIRGINIA,88
CASANARE,VILLANUEVA,88
SUCRE,SAN MARCOS,87
CESAR,SAN DIEGO,87
ANTIOQUIA,VALDIVIA,86
NARIÑO,TÚQUERRES,86
ANTIOQUIA,CAREPA,86
